round,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,mean,std
1,0.0153440115534137,0.0520553583810122,0.0153440115534136,0.0153440115534134,0.1164346554370875,0.015344011553413,0.1211369333164193,0.015344011553409,0.1220006186844682,0.0048454773326574,0.0048454773326574,0.075537950720478,0.0153440115534131,0.0048454773326574,0.1215589534475541,0.0167290040953981,0.0153440115534128,0.1712308503070632,0.0048454773326574,0.0765256854057582,0.049999999999987846,0.051723151342448016
2,0.0047358807560605,0.0149969557275223,0.0402653872915427,0.0149969557275237,0.0979966684940765,0.0149969557275233,0.1176856790261313,0.0149969557275236,0.1327354467876638,0.0047358807560605,0.0047358807560605,0.1084851980290925,0.0149969557275219,0.0047358807560605,0.2257436493720932,0.0149969557275216,0.0726655889818313,0.0149969557275227,0.0047358807560605,0.0757642881443694,0.04999999999998811,0.05836502314534557
3,0.0162689235937489,0.0162689235937473,0.0162689235937474,0.0051375548190791,0.1101895794208017,0.0162689235937488,0.1153178438212328,0.0162689235937475,0.138591100230266,0.0051375548190791,0.0051375548190791,0.1096894994353222,0.0162689235937466,0.0051375548190791,0.1532808350850087,0.0162689235937463,0.1076636422512218,0.0162689235937486,0.0051375548190791,0.1094283369105123,0.049999999999987124,0.05291014004843044
4,0.0144778209001163,0.0144778209001144,0.0614911449662296,0.0045719434421424,0.1032140892786512,0.0144778209001162,0.110656152330797,0.0144778209001145,0.1374039427300989,0.0045719434421424,0.0144778209001002,0.1004561129301954,0.0144778209001143,0.0045719434421424,0.1369747423832502,0.0144778209001137,0.1080966494659375,0.023363022560872,0.0045719434421424,0.0987116232843794,0.04999999999998852,0.04895815055288475
5,0.0149931788330699,0.0149931788330679,0.0717752141254237,0.0047346880525488,0.109569369036745,0.0149931788330698,0.105968213991729,0.0149931788330691,0.1478483201406494,0.0047346880525488,0.0149931788329159,0.1137274525640287,0.0149931788330675,0.0047346880525488,0.1084029614715782,0.0149931788330668,0.1002229287275155,0.0149931788330692,0.0047346880525488,0.1036013570675012,0.04999999999998811,0.04878348115209291
6,0.0156346767568189,0.0156346767568176,0.0156346767568177,0.004937266344259,0.1095208823179435,0.0156346767568188,0.1037898567667626,0.0156346767568169,0.1671903305220128,0.004937266344259,0.0156346767568012,0.119671753347662,0.0156346767568152,0.004937266344259,0.1375770111838996,0.015634676756817,0.1047408280834923,0.0156346767568184,0.004937266344259,0.0970481815896012,0.04999999999998757,0.05322359076384299
7,0.015970064617234,0.0159700646172334,0.0159700646172329,0.0050431783001796,0.1121182301321189,0.0159700646172335,0.1092795411719055,0.0159700646172315,0.1747893640506961,0.0050431783001796,0.015970064617232,0.1260794575044803,0.0159700646172314,0.0050431783001796,0.1342953010575819,0.0159700646172312,0.1033429693351661,0.015970064617234,0.0050431783001796,0.0761918419919858,0.049999999999987346,0.053794601162319884
8,0.0162912982250122,0.0162912982250116,0.04383534772346,0.0051446204921096,0.1142217647471474,0.0162912982250119,0.1133968977265583,0.0162912982250107,0.1438735480086029,0.0162912982249767,0.0162912982250117,0.1286155123027302,0.0162912982250101,0.0051446204921096,0.130293846767601,0.0162912982250093,0.1072453696962501,0.0162912982250121,0.0051446204921096,0.056462167525997,0.049999999999987096,0.04959972006813497
9,0.0187397203202035,0.0187397203202025,0.0187397203202019,0.0059178064169069,0.1368077616607728,0.0187397203202034,0.1256299067937753,0.0187397203202026,0.1472224978010673,0.0187397203202007,0.0187397203202034,0.1404241580404927,0.0900535069794981,0.0059178064169069,0.1171834593098994,0.0187397203201996,0.0375280869614533,0.0187397203202032,0.0059178064169069,0.0187397203202028,0.049999999999985154,0.051361187774975316
10,0.0186781610138597,0.018678161013858,0.1144519762667956,0.0058983666359562,0.1248820424746991,0.0186781610138593,0.072552764012797,0.0186781610138592,0.1239801979095781,0.0186781610138569,0.0186781610138588,0.1248882379964973,0.0478991004396895,0.0058983666359562,0.0911803487660738,0.0186781610138544,0.1143667831009804,0.0186781610138596,0.0058983666359562,0.0186781610138587,0.049999999999985195,0.04574878184775845
