round,mae,rmse,acc,macro_f1,recall
1,0.0479157865047454,0.0944518521428108,0.8902512279382389,0.7580299274222215,0.7386072613220612
2,0.0377649217844009,0.0892415642738342,0.8958322953632112,0.7767720837555071,0.7640317381808912
3,0.0375843271613121,0.0891322046518325,0.8965777537543184,0.7797906441021784,0.7677580768625643
4,0.0371701158583164,0.0890276655554771,0.8971408427534018,0.7808068623137838,0.7686611278072399
5,0.0370714031159877,0.0889259576797485,0.8972903104509882,0.7811059603655536,0.7690355290131512
6,0.0369234681129455,0.0886715352535247,0.8973354327747879,0.7815047110733679,0.7694386861508512
7,0.0369224622845649,0.0884917229413986,0.8975666846842613,0.7824967234213058,0.7709381697679727
8,0.0368887297809124,0.0884384736418724,0.8977885361096096,0.7830021788768893,0.7718657568330974
9,0.0370278134942054,0.0881643369793891,0.8978016967873845,0.7842824366746356,0.7752655352384048
10,0.0370816774666309,0.0882172212004661,0.8978280181429343,0.7839151799638551,0.7740836512187956
11,0.0373781323432922,0.0881071388721466,0.8977951164484971,0.7848298564409424,0.7763242338492395
12,0.037235677242279,0.0879805758595466,0.8978477591595967,0.784567580935075,0.7754497497038166
13,0.0374485030770301,0.0879269763827323,0.8978364785786468,0.7851833033029842,0.777002063255299
14,0.0375904999673366,0.0878827273845672,0.8978439989659468,0.7853748787013839,0.7773857853595609
15,0.0372035428881645,0.0878626480698585,0.8980949918920824,0.7848997164460486,0.7754428718492309
16,0.0371524021029472,0.0878913924098014,0.8981278935865197,0.7847004424304516,0.7751604053898871
17,0.0371482782065868,0.0879113152623176,0.898231298911894,0.7849063109589982,0.7755069213120495
18,0.036866296082735,0.0880157351493835,0.8982002773142816,0.7833443371215698,0.7718645541865905
19,0.0368825197219848,0.0879702791571617,0.8981983972174566,0.7838908429626955,0.7734728721338641
20,0.0368653386831283,0.0879855975508689,0.8982453996380814,0.7842851446475781,0.7740018284141978
21,0.0368037112057209,0.0879121124744415,0.8982689008483937,0.7838068028764689,0.7730473229086275
22,0.0367116518318653,0.0879872441291809,0.8983403445277431,0.7836863216074355,0.7724004142461822
23,0.0367350727319717,0.0880178660154342,0.8983412845761557,0.7833383995578271,0.7715814345866427
24,0.0366984754800796,0.0879903063178062,0.8983958073840803,0.7836326529568559,0.7722695605961877
25,0.0368238389492034,0.0879831165075302,0.898298042349181,0.7835984361926499,0.7720488079156244
26,0.0367959886789321,0.0878705531358718,0.8983976874809053,0.7841463261450207,0.7733948574522236
27,0.0368595495820045,0.0878677368164062,0.8984616107729548,0.7848069388123285,0.7748508955737952
28,0.036865122616291,0.0879020765423774,0.8983544452539306,0.783439093282688,0.7716606673117277
29,0.0368714481592178,0.0878716707229614,0.8983525651571056,0.7836712154097106,0.7724533512623599
30,0.0367073528468608,0.0877933949232101,0.8983619656412305,0.7837661850424269,0.7727199057684868
31,0.0368245430290699,0.0878756567835807,0.8983206035110808,0.7830201141264881,0.7709630644294472
32,0.0366856977343559,0.0878768414258956,0.8984804117412046,0.784423318696419,0.7741196493797785
33,0.0369089804589748,0.0878800377249717,0.8983817066578929,0.7837401301756779,0.7724356403610905
34,0.0368817560374736,0.0877583250403404,0.8984757114991422,0.7846510033980361,0.7744393728125709
35,0.0368398390710353,0.0877786576747894,0.898374186270593,0.7835559732855337,0.7720973402817688
36,0.0369503945112228,0.0878198221325874,0.8984700712086673,0.7848251970270085,0.7746583125369388
37,0.0368225984275341,0.0878954157233238,0.8984512702404174,0.7835322679688304,0.7715699230206681
38,0.0370711758732795,0.0877824649214744,0.8983347042372682,0.7841978534624625,0.773543017198398
39,0.0368050150573253,0.0879310518503189,0.8985913374538789,0.7845000747568497,0.7736631196979091
40,0.036913126707077,0.0878696218132972,0.8983582054475806,0.783481115923651,0.7718090541597529
41,0.0369296036660671,0.0878221169114112,0.8985067330967544,0.7850222899466038,0.7753853670335692
42,0.0368550792336463,0.0879079401493072,0.8984446899015299,0.7835434508189595,0.7716010704913494
43,0.0368367992341518,0.0878208354115486,0.8985377546943668,0.784564749256923,0.7740104409765362
44,0.036922700703144,0.0879392698407173,0.8985433949848417,0.7840091277234348,0.7723530838490007
45,0.0367723479866981,0.0878629609942436,0.8984155484007427,0.7837209155095091,0.7723253269437022
46,0.0368371121585369,0.087973341345787,0.8984982726610421,0.7839186342771037,0.772328306957529
47,0.0367199182510376,0.0879418179392814,0.898509553241992,0.7842681182486193,0.7733761772907521
48,0.0368511788547039,0.0878770276904106,0.8985161335808795,0.7843912255130169,0.7734123540145159
49,0.036851916462183,0.0878011882305145,0.8985574957110292,0.7848671940463807,0.7746894437499161
50,0.0368766151368618,0.0878820344805717,0.8984211886912176,0.783750295938979,0.7722754700948979
51,0.0367028154432773,0.0879400223493576,0.8986599609879908,0.7841470484905655,0.7726409585080207
52,0.0367591418325901,0.0879468694329261,0.8985358745975418,0.7838826421510645,0.7723617461607006
53,0.036863587796688,0.0878122746944427,0.898502032854692,0.7844744583765638,0.7737163632160005
54,0.0367024950683116,0.0879660993814468,0.8986345796808536,0.7845969694703928,0.7737899797746995
55,0.0367128401994705,0.0879237726330757,0.8984898122253296,0.783530769900189,0.7717192114121431
56,0.0367268361151218,0.0878916457295417,0.898643040116566,0.784727081481124,0.7740927252087587
57,0.0366701483726501,0.087924838066101,0.8985415148880167,0.7839375311702665,0.7726099108497735
58,0.0367486998438835,0.0879209414124488,0.898581936969754,0.7844585991246962,0.7738988661815583
59,0.0365545712411403,0.087927758693695,0.8986120185189538,0.7841293224491306,0.7728282959928432
60,0.0366479307413101,0.0879342034459114,0.8985086131935794,0.7839693984568675,0.7728856058533135
