round,client,trust
1,0,0.015344011553413773
1,1,0.052055358381012204
1,2,0.015344011553413677
1,3,0.015344011553413476
1,4,0.1164346554370875
1,5,0.015344011553413014
1,6,0.12113693331641934
1,7,0.015344011553409007
1,8,0.12200061868446821
1,9,0.004845477332657448
1,10,0.004845477332657448
1,11,0.075537950720478
1,12,0.015344011553413183
1,13,0.004845477332657448
1,14,0.12155895344755416
1,15,0.016729004095398195
1,16,0.015344011553412817
1,17,0.17123085030706323
1,18,0.004845477332657448
1,19,0.07652568540575821
2,0,0.004735880756060572
2,1,0.014996955727522352
2,2,0.04026538729154272
2,3,0.014996955727523716
2,4,0.09799666849407658
2,5,0.0149969557275233
2,6,0.11768567902613133
2,7,0.014996955727523627
2,8,0.13273544678766386
2,9,0.004735880756060572
2,10,0.004735880756060572
2,11,0.10848519802909251
2,12,0.014996955727521955
2,13,0.004735880756060572
2,14,0.22574364937209324
2,15,0.014996955727521613
2,16,0.07266558898183136
2,17,0.01499695572752273
2,18,0.004735880756060572
2,19,0.07576428814436942
3,0,0.01626892359374894
3,1,0.01626892359374739
3,2,0.01626892359374749
3,3,0.005137554819079103
3,4,0.11018957942080176
3,5,0.016268923593748843
3,6,0.11531784382123286
3,7,0.016268923593747583
3,8,0.13859110023026605
3,9,0.005137554819079103
3,10,0.005137554819079103
3,11,0.10968949943532227
3,12,0.016268923593746622
3,13,0.005137554819079103
3,14,0.15328083508500875
3,15,0.016268923593746314
3,16,0.1076636422512218
3,17,0.01626892359374864
3,18,0.005137554819079103
3,19,0.10942833691051235
4,0,0.014477820900116336
4,1,0.01447782090011449
4,2,0.06149114496622965
4,3,0.004571943442142437
4,4,0.1032140892786512
4,5,0.014477820900116272
4,6,0.11065615233079704
4,7,0.01447782090011453
4,8,0.13740394273009895
4,9,0.004571943442142437
4,10,0.01447782090010029
4,11,0.10045611293019542
4,12,0.014477820900114381
4,13,0.004571943442142437
4,14,0.13697474238325028
4,15,0.014477820900113788
4,16,0.10809664946593756
4,17,0.02336302256087208
4,18,0.004571943442142437
4,19,0.09871162328437948
5,0,0.014993178833069921
5,1,0.01499317883306794
5,2,0.07177521412542379
5,3,0.004734688052548848
5,4,0.10956936903674508
5,5,0.014993178833069845
5,6,0.10596821399172907
5,7,0.014993178833069148
5,8,0.14784832014064947
5,9,0.004734688052548848
5,10,0.014993178832915979
5,11,0.11372745256402879
5,12,0.014993178833067578
5,13,0.004734688052548848
5,14,0.10840296147157827
5,15,0.014993178833066846
5,16,0.10022292872751559
5,17,0.014993178833069287
5,18,0.004734688052548848
5,19,0.10360135706750129
6,0,0.015634676756818948
6,1,0.01563467675681766
6,2,0.015634676756817793
6,3,0.004937266344259091
6,4,0.10952088231794353
6,5,0.01563467675681889
6,6,0.10378985676676265
6,7,0.015634676756816995
6,8,0.16719033052201282
6,9,0.004937266344259091
6,10,0.01563467675680125
6,11,0.11967175334766209
6,12,0.015634676756815243
6,13,0.004937266344259091
